year,bunker_fuels,building,electricity_heat,total_excluding_LUCF,energy,total_including_LUCF,industrial_processes,manufacturing_construction,other_fuel_combustion,transportation
2014,112.9,545.08,2376.19,5102.58,5063.14,4683.35,39.44,437.26,48.19,1639.85
2013,113.25,528.01,2378.54,5089.5,5053.13,4670.34,36.37,434.89,50.15,1646.94
2012,107.86,460.55,2360.2,4950.21,4914.94,4531.16,35.27,438.64,46.1,1597.53
2011,113.35,522.21,2488.67,5172.1,5139.89,4753.12,32.21,435.76,47.95,1633.59
2010,116.65,545.06,2609.56,5392.87,5361.42,4990.96,31.45,466.39,51.34,1679.77
2009,113.87,551.36,2489.11,5159.55,5129.94,4757.65,29.61,407.6,50.07,1622.55
2008,124.86,556.25,2719.59,5563.34,5521.92,5161.51,41.42,474.83,53.57,1708.27
2007,126.92,549.01,2789.49,5740.27,5694.76,5338.52,45.51,486.05,55.8,1806.37
2006,129.31,517.53,2722.96,5656.58,5609.72,5254.87,46.85,495.86,60.08,1806.02
2005,123.86,571.94,2791.21,5756.08,5709.89,5354.45,46.19,477.38,54.97,1807.72
2004,119.68,590.29,2742.06,5740.03,5694.14,5338.46,45.89,511.74,56.03,1788.67
2003,107.05,605.74,2707.69,5659.63,5616.28,5258.12,43.35,485.47,45.09,1766.76
2002,115.52,582.87,2679.75,5594.16,5551.0,5192.68,43.16,490.87,50.34,1741.64
2001,99.03,581.7,2812.78,5749.25,5707.64,5347.79,41.61,540.07,47.59,1720.04
2000,100.2,599.13,2801.39,5776.41,5734.96,5357.88,41.45,567.17,44.34,1717.85
1999,97.45,567.36,2769.65,5610.3,5570.06,5191.66,40.24,499.41,41.28,1686.18
1998,97.02,548.58,2800.15,5590.7,5551.24,5172.06,39.46,512.79,43.57,1640.36
1997,99.62,600.08,2738.66,5547.99,5509.43,5129.29,38.56,506.77,47.41,1602.13
1996,95.06,616.39,2504.04,5283.11,5245.8,4864.46,37.31,485.97,46.95,1577.19
1995,92.23,580.06,2423.43,5126.9,5089.82,4708.31,37.08,486.85,45.81,1537.76
1994,89.39,575.86,2360.7,5073.23,5036.92,4654.52,36.31,534.89,45.77,1506.9
1993,87.14,585.59,2335.52,5000.35,4965.51,4581.76,34.84,532.47,45.0,1454.19
1992,88.7,565.08,2276.97,4880.2,4847.21,4461.62,32.99,517.68,47.37,1430.66
1991,83.25,555.2,2179.91,4808.09,4775.35,4389.5,32.74,566.95,64.05,1399.67
1990,82.75,545.48,2159.79,4844.99,4811.51,4426.4,33.48,604.51,66.33,1426.97
